pdb_id,cluster_v2_id,Within_PDB_rank,Without_O_rel_score,Without_O_rel_rank
5LGE,5LGE_V2C029,61,35.6999902067669,40
5LGE,5LGE_V2C022,60,35.0942773778196,41
5LGE,5LGE_V2C075,62,30.9877518642072,42
5LGE,5LGE_V2C060,29,29.7873864795918,43
5LGE,5LGE_V2C040,58,29.6181749411303,44
5LGE,5LGE_V2C043,30,29.5894682103611,45
5LGE,5LGE_V2C079,32,29.4774682103611,46
5LGE,5LGE_V2C066,78,29.401326383438,47
5LGE,5LGE_V2C061,57,29.3856100372841,48
5LGE,5LGE_V2C095,69,29.2448696526688,49
5LGE,5LGE_V2C034,70,29.2434057103611,50
5LGE,5LGE_V2C039,73,29.100763883438,51
5LGE,5LGE_V2C064,41,28.9979009026688,52
5LGE,5LGE_V2C054,33,28.8704874411303,53
5LGE,5LGE_V2C036,64,28.8125355180534,54
5LGE,5LGE_V2C090,65,28.7961965757457,55
5LGE,5LGE_V2C096,85,28.7405667680534,56
5LGE,5LGE_V2C092,89,28.7363768642072,57
5LGE,5LGE_V2C048,84,28.7344754218995,58
5LGE,5LGE_V2C046,81,28.5609898449765,59
5LGE,5LGE_V2C084,92,28.4959369603611,60
5LGE,5LGE_V2C076,35,28.4795811911303,61
5LGE,5LGE_V2C067,46,28.4343504218995,62
5LGE,5LGE_V2C065,34,28.4313384026688,63
5LGE,5LGE_V2C074,44,28.4216460949765,64
5LGE,5LGE_V2C093,90,28.4125090757457,65
5LGE,5LGE_V2C070,75,28.4083696526688,66
5LGE,5LGE_V2C035,88,28.4071412872841,67
5LGE,5LGE_V2C077,76,28.4065355180534,68
5LGE,5LGE_V2C037,83,28.3989802295918,69
5LGE,5LGE_V2C071,77,28.3762975372841,70
5LGE,5LGE_V2C058,71,28.3745980180534,71
5LGE,5LGE_V2C086,72,28.3738071526688,72
5LGE,5LGE_V2C062,80,28.3699369603611,73
5LGE,5LGE_V2C044,39,28.3683215757457,74
5LGE,5LGE_V2C078,36,28.3348359988226,75
5LGE,5LGE_V2C050,37,28.3328504218995,76
5LGE,5LGE_V2C053,48,28.3210042680534,77
5LGE,5LGE_V2C047,45,28.3133816718995,78
5LGE,5LGE_V2C049,43,28.3115811911303,79
5LGE,5LGE_V2C089,86,28.3068696526688,80
5LGE,5LGE_V2C052,82,28.3066172488226,81
5LGE,5LGE_V2C072,67,28.3038408065149,82
5LGE,5LGE_V2C051,74,28.2951917680534,83
5LGE,5LGE_V2C083,87,28.2945691718995,84
5LGE,5LGE_V2C059,38,28.2922975372842,85
5LGE,5LGE_V2C069,91,28.2883432103611,86
5LGE,5LGE_V2C056,40,28.2876364795918,87
5LGE,5LGE_V2C068,93,28.2858696526688,88
5LGE,5LGE_V2C085,68,28.2858191718995,89
5LGE,5LGE_V2C087,94,28.2838167680534,90
5LGE,5LGE_V2C041,66,28.2826725372841,91
5LGE,5LGE_V2C080,95,28.2793239795918,92
5LGE,5LGE_V2C057,96,28.2791557103611,93
5LGE,5LGE_V2C063,42,28.2781460949764,94
5LGE,5LGE_V2C038,79,28.2765475372842,95
5LGE,5LGE_V2C082,63,28.276295133438,96
5NIU,5NIU_V2C002,1,79.0926951952934,1
5NIU,5NIU_V2C003,3,71.7758757733494,2
5NIU,5NIU_V2C001,2,69.6652338388971,3
5NIU,5NIU_V2C017,5,57.1474864684188,4
5NIU,5NIU_V2C004,7,55.627015669531,5
5NIU,5NIU_V2C012,12,51.2650339599686,6
5NIU,5NIU_V2C008,9,50.9325894172932,7
5NIU,5NIU_V2C022,10,49.6179572291994,8
5NIU,5NIU_V2C018,11,46.1323912478499,9
5NIU,5NIU_V2C024,13,45.3740738810062,10
5NIU,5NIU_V2C005,14,38.2777230817669,11
5NIU,5NIU_V2C007,4,37.7396385620301,12
5NIU,5NIU_V2C006,6,35.9894334633458,13
5NIU,5NIU_V2C010,16,29.0972302295918,14
5NIU,5NIU_V2C021,23,28.3849802295918,15
5NIU,5NIU_V2C009,21,28.3791244603611,16
5NIU,5NIU_V2C013,17,28.3709634026688,17
5NIU,5NIU_V2C011,24,28.3491557103611,18
5NIU,5NIU_V2C020,20,28.3389081142072,19
5NIU,5NIU_V2C016,8,28.3190355180534,20
5NIU,5NIU_V2C019,15,28.3123720565149,21
5NIU,5NIU_V2C014,19,28.2957302295918,22
5NIU,5NIU_V2C015,18,28.2764634026688,23.5
5NIU,5NIU_V2C023,22,28.2764634026688,23.5
